Date,Total.Streams,Abreviatted
2018-10-26,91947651,US
2018-10-27,80742579,US
2018-10-28,72450946,US
2018-10-29,80447592,US
2018-10-30,82254570,US
2018-10-31,86218237,US
2018-11-01,79702376,US
2018-11-02,91073070,US
2018-11-03,80229434,US
2018-11-04,74063056,US
2018-11-05,84429998,US
2018-11-06,86093975,US
2018-11-07,86418302,US
2018-11-08,86190915,US
2018-11-09,99940608,US
2018-11-10,85969509,US
2018-11-11,76073908,US
2018-11-12,81280847,US
2018-11-13,84665783,US
2018-11-14,84583336,US
2018-11-15,81928852,US
2018-11-16,86491046,US
2018-11-17,81917925,US
2018-11-18,73669786,US
2018-11-19,81006587,US
2018-11-20,84253070,US
2018-11-21,86897970,US
2018-11-22,75519867,US
2018-11-23,70210560,US
2018-11-24,74355581,US
2018-11-25,74509122,US
2018-11-26,80116815,US
2018-11-27,82370010,US
2018-11-28,90135112,US
2018-11-29,88476537,US
2018-11-30,104823092,US
2018-12-01,96237596,US
2018-12-02,84662310,US
2018-12-03,91045261,US
2018-12-04,91384709,US
2018-12-05,89472934,US
2018-12-06,89269377,US
2018-12-07,104936237,US
2018-12-08,94026533,US
2018-12-09,83201583,US
2018-12-10,86930316,US
2018-12-11,88306261,US
2018-12-12,88252396,US
2018-12-13,89985226,US
2018-12-14,95719548,US
2018-12-15,91676586,US
2018-12-16,82169822,US
2018-12-17,86759149,US
2018-12-18,87641744,US
2018-12-19,88361634,US
2018-12-20,89888469,US
2018-12-21,105253745,US
2018-12-22,100838330,US
2018-12-23,91770479,US
2018-12-24,115183559,US
2018-12-25,127212454,US
2018-12-26,77207378,US
2018-12-27,79353524,US
2018-12-28,79417349,US
2018-12-29,76882919,US
2018-12-30,71098615,US
2018-12-31,79802662,US
2019-01-01,76388126,US
2019-01-02,76346540,US
2019-01-03,79714253,US
2019-01-04,81971668,US
2019-01-05,77865175,US
2019-01-06,71360225,US
2019-01-07,79978542,US
2019-01-08,81887524,US
2019-01-09,81912751,US
2019-01-10,83794939,US
2019-01-11,89847328,US
2019-01-12,81490836,US
2019-01-13,73297606,US
2019-01-14,81915753,US
2019-01-15,84626298,US
2019-01-16,85498466,US
2019-01-17,85598858,US
2019-01-18,99547452,US
2019-01-19,88081821,US
2019-01-20,76578106,US
2019-01-21,79882317,US
2019-01-22,86479284,US
2019-01-23,89551868,US
2019-01-24,92554973,US
2019-01-25,96021675,US
2019-01-26,88318922,US
2019-01-27,79538629,US
2019-01-28,85648093,US
2019-01-29,87984804,US
2019-01-30,85899452,US
2019-01-31,87263470,US
2019-02-01,93776836,US
2019-02-02,87016307,US
2019-02-03,80452013,US
2019-02-04,82734336,US
2019-02-05,87760294,US
2019-02-06,86866073,US
2019-02-07,87264523,US
2019-02-08,116421754,US
2019-02-09,102226714,US
2019-02-10,90730795,US
2019-02-11,99622656,US
2019-02-12,99875845,US
2019-02-13,98095177,US
2019-02-14,99809109,US
2019-02-15,102964168,US
2019-02-16,92463231,US
2019-02-17,81902730,US
2019-02-18,86400044,US
2019-02-19,89902871,US
2019-02-20,88421202,US
2019-02-21,90111886,US
2019-02-22,100048352,US
2019-02-23,89205975,US
2019-02-24,79577506,US
2019-02-25,86308555,US
2019-02-26,88969220,US
2019-02-27,87811581,US
2019-02-28,86173498,US
2019-03-01,100271222,US
2019-03-02,87970912,US
2019-03-03,78253833,US
2019-03-04,83891392,US
2019-03-05,87021667,US
2019-03-06,85302010,US
2019-03-07,86088659,US
2019-03-08,100521912,US
2019-03-09,89688028,US
2019-03-10,80117653,US
2019-03-11,85625953,US
2019-03-12,84947837,US
2019-03-13,83849677,US
2019-03-14,84994511,US
2019-03-15,88190767,US
2019-03-16,81859492,US
2019-03-17,74297354,US
2019-03-18,79814767,US
2019-03-19,81769532,US
2019-03-20,81426376,US
2019-03-21,80213424,US
2019-03-22,86842879,US
2019-03-23,79718067,US
2019-03-24,72651933,US
2019-03-25,78194108,US
2019-03-26,80216027,US
2019-03-27,79333718,US
2019-03-28,79758449,US
2019-03-29,98365245,US
2019-03-30,89809522,US
2019-03-31,79626569,US
2019-04-01,89794912,US
2019-04-02,89450908,US
2019-04-03,87995082,US
2019-04-04,87609557,US
2019-04-05,101908739,US
2019-04-06,91486650,US
2019-04-07,80199043,US
2019-04-08,87661844,US
2019-04-09,86355208,US
2019-04-10,85946024,US
2019-04-11,84146325,US
2019-04-12,91805088,US
2019-04-13,84309963,US
2019-04-14,74378274,US
2019-04-15,81023295,US
2019-04-16,82594426,US
2019-04-17,81408972,US
2019-04-18,81882006,US
2019-04-19,84486470,US
2019-04-20,77071342,US
2019-04-21,68742070,US
2019-04-22,76582886,US
2019-04-23,81858504,US
2019-04-24,80525519,US
2019-04-25,78148541,US
2019-04-26,87524765,US
2019-04-27,79342077,US
2019-04-28,69916503,US
2019-04-29,75041914,US
2019-04-30,76475331,US
2019-05-01,76680531,US
2019-05-02,78206298,US
2019-05-03,85416534,US
2019-05-04,79555407,US
2019-05-05,70949951,US
2019-05-06,76212551,US
2019-05-07,77934491,US
2019-05-08,77981004,US
2019-05-09,78031972,US
2019-05-10,89498950,US
2019-05-11,81159399,US
2019-05-12,69249378,US
2019-05-13,75097628,US
2019-05-14,78846589,US
2019-05-15,79072143,US
2019-05-16,77998420,US
2019-05-17,98244899,US
2019-05-18,86774134,US
2019-05-19,75463963,US
2019-05-20,81141389,US
2019-05-21,81803892,US
2019-05-22,81872887,US
2019-05-23,82126845,US
2019-05-24,90037182,US
2019-05-25,82502040,US
2019-05-26,72589508,US
2019-05-27,74268653,US
2019-05-28,78360300,US
2019-05-29,78837278,US
2019-05-30,79030895,US
2019-05-31,88231419,US
2019-06-01,79800598,US
2019-06-02,71309421,US
2019-06-03,76879631,US
2019-06-04,78129839,US
2019-06-05,77266779,US
2019-06-06,77126975,US
2019-06-07,88944128,US
2019-06-08,78857569,US
2019-06-09,69431381,US
2019-06-10,75212514,US
2019-06-11,75730242,US
2019-06-12,76028259,US
2019-06-13,73984432,US
2019-06-14,81690208,US
2019-06-15,77628880,US
2019-06-16,67569390,US
2019-06-17,74764214,US
2019-06-18,76343074,US
2019-06-19,75308604,US
2019-06-20,74912390,US
2019-06-21,87599289,US
2019-06-22,80773009,US
2019-06-23,72176145,US
2019-06-24,76784270,US
2019-06-25,76649611,US
2019-06-26,78059128,US
2019-06-27,78237432,US
2019-06-28,87520035,US
2019-06-29,80523598,US
2019-06-30,72138891,US
2019-07-01,79761994,US
2019-07-02,80338527,US
2019-07-03,81578205,US
2019-07-04,78229898,US
2019-07-05,80791580,US
2019-07-06,77504540,US
2019-07-07,71535669,US
2019-07-08,79001832,US
2019-07-09,80493934,US
2019-07-10,78485612,US
2019-07-11,78866651,US
2019-07-12,90476338,US
2019-07-13,83380238,US
2019-07-14,73730648,US
2019-07-15,80034008,US
2019-07-16,79694792,US
2019-07-17,78296346,US
2019-07-18,76003580,US
2019-07-19,81553483,US
2019-07-20,76233396,US
2019-07-21,69195125,US
2019-07-22,74567729,US
2019-07-23,75532897,US
2019-07-24,77037508,US
2019-07-25,76529021,US
2019-07-26,86526312,US
2019-07-27,81304906,US
2019-07-28,70206635,US
2019-07-29,76002350,US
2019-07-30,76253756,US
2019-07-31,74561135,US
2019-08-01,74995613,US
2019-08-02,85796088,US
2019-08-03,76410085,US
2019-08-04,67384671,US
2019-08-05,72522288,US
2019-08-06,73054301,US
2019-08-07,72023131,US
2019-08-08,71888343,US
2019-08-09,81825350,US
2019-08-10,74133142,US
2019-08-11,66275140,US
2019-08-12,70629539,US
2019-08-13,71197140,US
2019-08-14,71035449,US
2019-08-15,71089609,US
2019-08-16,82700911,US
2019-08-17,76767821,US
2019-08-18,68423146,US
2019-08-19,73049317,US
2019-08-20,74496561,US
2019-08-21,73813174,US
2019-08-22,73805869,US
2019-08-23,100907438,US
2019-08-24,86297162,US
2019-08-25,75254426,US
2019-08-26,80998351,US
2019-08-27,82868253,US
2019-08-28,82884107,US
2019-08-29,82486319,US
2019-08-30,93066622,US
2019-08-31,83109190,US
2019-09-01,72863531,US
2019-09-02,73216441,US
2019-09-03,77490127,US
2019-09-04,78819440,US
2019-09-05,78172459,US
2019-09-06,111381122,US
2019-09-07,96622856,US
2019-09-08,83800235,US
2019-09-09,92491365,US
2019-09-10,91721100,US
2019-09-11,90434532,US
2019-09-12,87412779,US
2019-09-13,93324585,US
2019-09-14,84318307,US
2019-09-15,74705931,US
2019-09-16,80365362,US
2019-09-17,81271117,US
2019-09-18,81470965,US
2019-09-19,80972888,US
2019-09-20,85085650,US
2019-09-21,79376364,US
2019-09-22,69990185,US
2019-09-23,75813622,US
2019-09-24,77903421,US
2019-09-25,79038070,US
2019-09-26,79784364,US
